#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

126	6.59		1270000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
127	6.66		1280000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
128	6.72		1290000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
129	6.77		1300000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
130	6.84		1310000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
131	6.91		1320000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
132	6.96		1330000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
133	7.8		1340000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
134	7.13		1350000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
135	7.20		1360000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
136	7.26		1370000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
137	7.32		1380000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
138	7.40		1390000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
139	7.46		1400000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
140	7.52		1410000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
141	7.58		1420000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
142	7.64		1430000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
143	7.72		1440000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
144	7.78		1450000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
145	7.85		1460000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
146	7.89		1470000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
147	7.96		1480000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
148	8.2		1490000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
149	8.7		1500000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
150	8.11		1510000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
151	8.17		1520000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
152	8.22		1530000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
153	8.26		1540000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
154	8.35		1550000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
155	8.39		1560000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
156	8.44		1570000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
157	8.50		1580000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
158	8.55		1590000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
159	8.62		1600000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
160	8.67		1610000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
161	8.73		1620000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
162	8.78		1630000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
163	8.82		1640000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
164	8.88		1650000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
165	8.94		1660000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
166	9.0		1670000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
167	9.4		1680000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
168	9.10		1690000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
169	9.17		1700000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
170	9.26		1710000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
171	9.31		1720000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
172	9.37		1730000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
173	9.43		1740000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
174	9.48		1750000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
175	9.54		1760000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
176	9.59		1770000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
177	9.65		1780000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
178	9.69		1790000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
179	9.73		1800000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
180	9.78		1810000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
181	9.83		1820000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
182	9.87		1830000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
183	9.92		1840000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
184	9.96		1850000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
185	10.1		1860000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
186	10.8		1870000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
187	10.14		1880000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
188	10.19		1890000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
189	10.23		1900000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
190	10.27		1910000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
191	10.31		1920000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
192	10.36		1930000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
193	10.40		1940000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
194	10.45		1950000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
195	10.50		1960000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
196	10.56		1970000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
197	10.61		1980000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
198	10.69		1990000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
199	10.73		2000000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
200	10.76		2010000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
201	10.83		2020000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
202	10.88		2030000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
203	10.94		2040000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
204	11.0		2050000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
205	11.6		2060000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
206	11.11		2070000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
207	11.16		2080000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
208	11.22		2090000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
209	11.26		2100000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
210	11.32		2110000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
211	11.38		2120000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
212	11.43		2130000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
213	11.52		2140000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
214	11.58		2150000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
215	11.63		2160000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
216	11.67		2170000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
217	11.72		2180000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
218	11.77		2190000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
219	11.81		2200000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
220	11.85		2210000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
221	11.90		2220000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
222	11.95		2230000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
223	12.0		2240000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
224	12.6		2250000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
225	12.13		2260000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
226	12.18		2270000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
227	12.24		2280000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
228	12.30		2290000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
229	12.37		2300000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
230	12.43		2310000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
231	12.49		2320000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
232	12.54		2330000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
233	12.59		2340000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
234	12.64		2350000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
235	12.70		2360000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
236	12.75		2370000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
237	12.80		2380000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
238	12.85		2390000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
239	12.90		2400000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
240	12.94		2410000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
241	12.98		2420000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
242	13.1		2430000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
243	13.5		2440000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
244	13.9		2450000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
245	13.14		2460000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
246	13.18		2470000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
247	13.23		2480000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
248	13.26		2490000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
249	13.30		2500000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
250	13.35		2510000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
251	13.40		2520000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
252	13.44		2530000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
253	13.49		2540000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
254	13.52		2550000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
255	13.57		2560000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
